Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist
2025-07-25,1379.7841796875,1389.0046012536307,1372.2492752918665,1386.9226057137396,11854722,1470.8527893066407,1444.1067846679687,1445.61579987613,1564.0724253822389,1377.6331532310426,30.41672772710608,-14.366838536476052,0.7312804098093153,-15.098118946285368
2025-07-28,1375.71923828125,1395.7463569486692,1373.1415238854815,1380.3790691362324,7748361,1465.2511596679688,1443.0518920898437,1438.9589844861416,1567.2462859079174,1363.2560334280201,29.716538312196164,-17.8771207480288,-2.9903998217583085,-14.886720926270492
2025-07-29,1404.9666748046875,1408.04010820105,1371.1586653944225,1371.1586653944225,10750072,1459.7338012695313,1442.903173828125,1435.7216216593365,1562.2632829766978,1357.2043195623648,40.35534218563173,-18.090485142697162,-6.01041688594608,-12.080068256751082
2025-07-30,1398.026611328125,1411.113664716939,1389.3020300940545,1405.9581148273558,7209849,1454.3453308105468,1442.524443359375,1432.1316206754118,1558.0034088337723,1350.6872527873213,38.852481444365566,-18.60511490140584,-8.529356489038033,-10.075758412367808
2025-07-31,1378.2969970703125,1390.5908519212596,1370.365493427784,1376.215001569177,17065827,1448.0199462890625,1442.1437280273437,1427.0045136654023,1554.1238963249025,1341.9159962532226,34.87612123635303,-20.37016311581624,-10.897517814393675,-9.472645301422565
2025-08-01,1381.76708984375,1393.8627060383,1372.4476694796913,1375.025384070285,10321171,1441.3971313476563,1441.487392578125,1422.6961875871498,1546.633747610453,1336.1605150848598,36.114564155542894,-21.244080519928275,-12.966830355500596,-8.277250164427679
2025-08-04,1399.4146728515625,1403.975263237478,1379.7841529413568,1383.155066191865,6312820,1434.952783203125,1441.025380859375,1420.4789004694749,1533.344676470773,1336.5608899354768,42.140685217269905,-20.27889145962172,-14.429242576324821,-5.849648883296897
2025-08-05,1379.7841796875,1398.918980991344,1376.2150271869518,1398.918980991344,9315972,1427.7202453613281,1440.4225854492188,1416.6032127759534,1519.4577531781847,1335.9827375444715,37.86235525137167,-20.85755599287222,-15.714905259634302,-5.14265073323792
2025-08-06,1380.874755859375,1383.9481891450812,1371.4560958071288,1379.9824375441353,5834312,1421.4642700195313,1440.0240258789063,1413.2005025934222,1507.6218278511428,1335.3067121879199,38.237507003114345,-20.986235166262077,-16.769171240959857,-4.21706392530222
2025-08-07,1377.5040283203125,1381.7671392504185,1354.3043541251445,1375.818511047819,9976705,1415.1289916992187,1439.460888671875,1409.8008383769356,1493.9930876272947,1336.2648957711426,37.48423271368986,-21.116782753472762,-17.638693543462438,-3.4780892100103245
2025-08-08,1356.0888671875,1385.2370458989403,1353.312792536344,1373.1415514013454,8793606,1408.8135314941405,1438.4079809570312,1404.6854125493703,1485.186230126132,1332.4408328621491,33.03197317817566,-22.68674847195689,-18.64830452916133,-4.03844394279556
2025-08-11,1374.331298828125,1376.1159356273254,1349.5453489789295,1358.2700517359046,9997486,1403.9802734375,1437.8626904296875,1401.7945445759183,1475.8878871412057,1332.0726597337944,39.61201221608807,-22.203003437078678,-19.3592443107448,-2.843759126333879
2025-08-12,1368.5810546875,1389.8969719255274,1363.4255044148417,1370.0682117041065,12244664,1398.7752258300782,1437.3649877929688,1398.6313550627356,1464.5534407806804,1332.997010879476,38.333435046692735,-22.029684170975088,-19.89333228279086,-2.1363518881842296
2025-08-13,1370.7620849609375,1379.8833867126677,1365.7057756228248,1376.115874093997,7457021,1393.6693176269532,1436.5539892578124,1395.9771388625643,1450.4680389750656,1336.8705962788408,39.13589136352438,-21.468856870352056,-20.2084372003031,-1.2604196700489574
2025-08-14,1367.4774169921875,1374.3455639562076,1363.794372575189,1370.961308962897,7126128,1388.8552307128907,1435.3025341796874,1393.262879636814,1436.1702371416634,1341.540224284118,38.3269986576364,-21.046827719276052,-20.376115304097688,-0.6707124151783646
2025-08-18,1375.3409423828125,1388.4802648218374,1370.6626218339861,1383.602791829514,11785109,1384.454150390625,1434.1865380859374,1391.5560284697663,1416.4994377023042,1352.4088630789458,41.44714024396274,-19.84903843619759,-20.270699930517672,0.4216614943200838
2025-08-19,1413.564208984375,1414.460091190419,1382.7068811681168,1383.6027633741608,14384719,1384.313946533203,1433.7299145507814,1393.6520456616338,1415.7908132048144,1352.8370798615917,53.707094435191856,-15.635250198490894,-19.34360998411232,3.7083597856214254
2025-08-20,1406.4969482421875,1418.342205158243,1403.510755146132,1406.4969482421875,8725641,1384.60361328125,1433.3361840820312,1394.8753697169248,1416.8136269110669,1352.3935996514333,51.557575756564745,-12.719439755806661,-18.01877593845119,5.299336182644527
2025-08-21,1418.24267578125,1425.3099750709036,1413.7633861810953,1418.4417067156319,11021323,1384.8956176757813,1432.9711474609376,1397.1008274373366,1418.252229427464,1351.5390059240985,54.7957646878513,-9.353040890122656,-16.285628928785485,6.9325880386628285
2025-08-22,1402.71435546875,1416.84907536351,1401.4204113959267,1413.464698965694,5818868,1385.4869140625,1432.44029296875,1397.635449154614,1419.6991090771487,1351.2747190478515,50.03397145509512,-7.8476879474631005,-14.598040732521008,6.750352785057908
2025-08-25,1406.0987548828125,1412.9670232567023,1399.230486508923,1408.1890657335161,5979407,1386.8026428222656,1432.2487817382812,1398.441478271585,1422.0982570598396,1351.5070285846916,51.03275420400042,-6.308867449984518,-12.94020607601371,6.631338626029192
2025-08-26,1378.5262451171875,1403.5107021083375,1375.241384232256,1401.519906786198,12145259,1386.9429931640625,1431.3095141601561,1396.5447893997375,1422.0749841763645,1351.8110021517605,43.41815667325864,-7.230859378277728,-11.798336736466515,4.567477358188787
2025-08-28,1379.521728515625,1385.7926612650012,1360.2109883890075,1383.50331940736,13161813,1385.6707458496094,1430.5210278320312,1394.9235455060125,1419.8854535791565,1351.4560381200622,43.74452286551166,-7.79140298970583,-10.996949987114379,3.2055469974085486
2025-08-29,1350.9537353515625,1397.0406983353935,1343.7869203796088,1374.7437651325777,18758842,1383.3171020507812,1429.1829931640625,1390.735944538922,1420.3160499516127,1346.3181541499496,37.126316172493205,-10.420712647191976,-10.881702519129899,0.4609898719379224
2025-09-01,1347.6689453125,1356.9260708455383,1334.430107544873,1349.759256141992,11232238,1381.7856994628905,1427.7158081054688,1386.634325564977,1422.0507840883372,1341.5206148374439,36.443584124025605,-12.62399306403995,-11.230160628111909,-1.3938324359280418
2025-09-02,1360.2109375,1378.128095842481,1348.2661652716795,1348.5648331807902,11517006,1380.7078918457032,1425.847099609375,1384.1178124159317,1422.1129578000355,1339.302825891371,40.91159567496707,-13.205845944743714,-11.62529769143827,-1.5805482533054445
2025-09-03,1366.2828369140625,1370.1649121838109,1354.2385492379765,1363.3961593284287,7847563,1379.0513000488281,1424.2862182617187,1382.4192433205155,1419.9531213653534,1338.149478732303,43.00073252407223,-13.026851571013822,-11.90560846735338,-1.1212431036604418
2025-09-04,1353.0440673828125,1367.6763641601647,1350.8541196588233,1365.4865379446771,13223177,1377.7142944335938,1422.5795336914061,1379.6216075169248,1420.2315170649952,1335.1970718021923,39.70454026097987,-13.794243843991808,-12.283335542681067,-1.5109083013107405
2025-09-05,1368.671875,1374.6442613636364,1353.0441792852228,1356.7271022727273,5777575,1377.104150390625,1420.8582299804686,1378.578775848646,1419.780345811478,1334.427954969772,45.058468668964345,-12.991615030349976,-12.42499144021485,-0.5666235901351264
2025-09-08,1372.15576171875,1379.6212446443146,1366.0838599076599,1373.6488583038629,6986720,1376.836737060547,1418.6513989257812,1377.9670602172273,1419.5693705029955,1334.1041036180984,46.20524451933993,-11.936805309558167,-12.327354214083513,0.3905489045253461
2025-09-09,1369.8662109375,1374.843199236951,1362.4007284883235,1370.2643943031567,9754452,1377.5256042480469,1416.0002197265626,1377.195550762015,1419.2830332990857,1335.768175197008,45.5326220397042,-11.156997695367409,-12.093282910340294,0.9362852149728855
2025-09-10,1370.66259765625,1382.1096709119122,1367.7759200987732,1377.5308659113482,7790815,1377.3421691894532,1413.6584350585938,1376.573364751942,1419.1908137338698,1335.4935246450366,45.82802387885546,-10.3553626161397,-11.745698851500176,1.3903362353604756
2025-09-11,1376.9337158203125,1379.1235422027225,1368.6718661340626,1369.6672638548873,9766072,1377.7598022460938,1410.8908325195312,1376.6076839013106,1419.406535479735,1336.1130690124526,48.20995224315502,-9.109030975553196,-11.21836527631078,2.1093343007575847
2025-09-12,1388.579833984375,1389.873899637371,1374.146566892781,1376.9337291414593,7403368,1378.6506896972655,1408.5465087890625,1377.7478886711262,1420.4292305967153,1336.8721487978157,52.39612560566923,-7.099718628951223,-10.394635946838871,3.2949173178876485
2025-09-15,1392.8599853515625,1394.3530818320328,1382.2091575524387,1386.5889315301856,5396697,1379.9198181152344,1406.3076147460938,1379.1871359740248,1421.8112042408268,1338.028431989642,53.87183122698496,-5.103126013245856,-9.33633396012027,4.233207946874414
2025-09-16,1398.8323974609375,1401.5199225726963,1391.7649767809332,1398.2350616507645,8686961,1381.0943908691406,1403.999794921875,1381.0581132584928,1423.7554694726905,1338.4333122655908,55.92500191635702,-3.004257031951056,-8.069918574486428,5.065661542535372
2025-09-17,1407.2933349609375,1409.6821922648512,1400.4250664409112,1400.5245819104894,7519417,1380.7808471679687,1401.57962890625,1383.5567058015827,1422.5193201968673,1339.04237413907,58.7276673663671,-0.6506608838487864,-6.5860670363589,5.935406152510113
2025-09-18,1408.4876708984375,1415.4554544293837,1404.2074124117412,1413.8628424954393,9332642,1380.8803833007812,1399.26068359375,1385.9310834298544,1422.885715541648,1338.8750510599143,59.12280891686522,1.296014302799449,-5.00965076852723,6.305665071326679
2025-09-19,1400.9227294921875,1410.4785229891424,1397.1401696768169,1408.3882121473878,13461373,1380.014385986328,1397.1592529296875,1387.3588592453148,1419.4095056777953,1340.6192662948608,55.49839444833477,2.202946666736807,-3.567131281474423,5.77007794821123
2025-09-22,1384.199951171875,1404.2074196840813,1381.6119415772491,1397.4387885526373,7757970,1379.0886657714843,1394.7590600585938,1387.0580108573681,1417.0830548219053,1341.0942767210634,48.430510773332635,1.5543905996346439,-2.5428269052526096,4.0972175048872534
2025-09-23,1383.40380859375,1388.5798281670254,1370.4636381520502,1384.5982372618869,14014702,1377.9539184570312,1392.7791748046875,1386.7099915941662,1413.849372240914,1342.0584646731486,48.116337930579,0.9650388245945578,-1.8412537592831764,2.806292583877734
2025-09-24,1376.635009765625,1389.5751797778832,1374.0470000648747,1378.9244730635044,5922759,1377.859356689453,1390.8919458007813,1385.7504695152577,1413.758426417729,1341.9602869611772,45.41866439956832,-0.047662772619105453,-1.4825355619503624,1.434872789331257
2025-09-25,1366.0838623046875,1378.128150477363,1362.6994857374575,1374.942926360271,11411143,1377.1874633789062,1388.7599829101562,1383.8774593047272,1413.4566331499714,1340.918293607841,41.511694583284374,-1.6822337613641594,-1.5224752018331218,-0.15975855953103757
